Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764431199.1484085,5733.457617977274,35.62707395904632,1.576295299e-06
764431199.1485085,5732.966683010573,35.8357096484044,1.57681143e-06
764431199.1486086,5732.475748756309,38.153393330702485,1.577397884e-06
764431199.1487086,5731.984815214312,45.11094787335508,1.578133537e-06
764431199.1488086,5731.493882385237,40.609319427144605,1.578516941e-06
764431199.1489086,5731.002950268676,43.27425419033489,1.579108215e-06
764431199.1490086,5730.512018865108,39.334400551577396,1.579511752e-06
764431199.1491086,5730.021088174892,44.91255156224416,1.580169286e-06
764431199.1492087,5729.530158198154,44.717145818993714,1.580665846e-06
764431199.1493087,5729.03922893484,44.34535656559569,1.581181373e-06
764431199.1494087,5728.548300385077,43.29207212667484,1.58165341e-06
764431199.1495087,5728.057372549223,39.7995690926265,1.582083407e-06
764431199.1496087,5727.566445427462,45.523469163959156,1.582725195e-06
764431199.1497087,5727.075519019977,43.779844822783254,1.583196289e-06
764431199.1498088,5726.584593327131,38.79896487628096,1.583552178e-06
764431199.1499088,5726.0936683487525,43.90505284686166,1.584217614e-06
764431199.1500088,5725.602744085378,41.5899397622776,1.584645078e-06
764431199.1501088,5725.111820536724,38.64384585307876,1.585038413e-06
764431199.1502088,5724.62089770338,43.96519101693461,1.585736461e-06
764431199.1503088,5724.129975585418,39.59735726281087,1.586097047e-06
764431199.1504089,5723.639054182904,42.91776465762391,1.586734838e-06
764431199.1505089,5723.14813349643,44.14977578115007,1.587269571e-06
764431199.1506089,5722.657213525712,41.69140491717458,1.587720091e-06
764431199.1507089,5722.166294271467,41.919940116020044,1.588220025e-06
764431199.1508089,5721.675375733167,39.736733281424975,1.58865378e-06
764431199.150909,5721.184457911353,43.20856906263899,1.58928443e-06
764431199.151009,5720.693540806093,40.97160408063569,1.589742993e-06
764431199.151109,5720.202624418099,42.55616006610214,1.5902998e-06
764431199.151209,5719.711708747023,45.36426664945206,1.590876232e-06
764431199.151309,5719.220793792996,41.35867249244541,1.591286171e-06
764431199.151409,5718.729879556554,41.48445271350237,1.591790717e-06
764431199.151509,5718.238966037823,44.28981497990049,1.592399969e-06
764431199.1516091,5717.748053236574,45.21424131469051,1.592908096e-06
764431199.1517091,5717.25714115329,44.80799493531836,1.593420423e-06
764431199.1518091,5716.766229788152,41.30314687072292,1.593838664e-06
764431199.1519091,5716.27531914182,44.74747219489817,1.594443515e-06
764431199.1520091,5715.784409213533,45.6152726833752,1.594967253e-06
764431199.1521091,5715.293500004126,38.768005584430234,1.595280649e-06
764431199.1522092,5714.80259151343,45.84463048055716,1.596001091e-06
764431199.1523092,5714.311683742167,42.60140452230011,1.596433304e-06
764431199.1524092,5713.820776689803,39.20653981750624,1.596837129e-06
764431199.1525092,5713.329870356884,42.07973514394074,1.597432039e-06
764431199.1526092,5712.838964743657,39.846498987025875,1.597871689e-06
764431199.1527092,5712.348059850184,45.27181520576366,1.598548573e-06
764431199.1528093,5711.857155676888,43.35798244897514,1.599013417e-06
764431199.1529093,5711.366252223486,43.530563768745616,1.599524525e-06
764431199.1530093,5710.87534949075,41.15032387418193,1.599980215e-06
764431199.1531093,5710.384447478394,41.74846000524884,1.600519479e-06
764431199.1532093,5709.893546186666,44.203104593350986,1.601086701e-06
764431199.1533093,5709.402645615984,41.928432381901615,1.601527663e-06
764431199.1534094,5708.911745766417,41.585296827150735,1.602033022e-06
764431199.1535094,5708.420846638215,37.2969139777177,1.602416739e-06
764431199.1536094,5707.929948231438,43.04438400528918,1.603095861e-06
764431199.1537094,5707.439050546513,38.37325605138118,1.60344365e-06
764431199.1538094,5706.94815358345,41.35875106007993,1.604085563e-06
764431199.1539094,5706.457257342256,42.11612972218956,1.604618714e-06
764431199.1540095,5705.966361823293,40.315255874535836,1.605101013e-06
764431199.1541095,5705.475467026634,42.120664372282626,1.605639579e-06
764431199.1542095,5704.98457295317,44.06102358423876,1.606210335e-06
764431199.1543095,5704.493679602025,41.4155661591447,1.606668785e-06
764431199.1544095,5704.0027869739215,43.29259557489749,1.60723535e-06
764431199.1545095,5703.511895068805,42.33157552503465,1.607707603e-06
764431199.1546096,5703.021003887454,42.68554144801848,1.608241582e-06
764431199.1547096,5702.5301134292295,37.95146555410373,1.608601323e-06
764431199.1548096,5702.039223694732,42.74660057829707,1.609281071e-06
764431199.1549096,5701.54833468444,45.437311590930456,1.609866242e-06
764431199.1550096,5701.057446398252,42.16960400487785,1.610296138e-06
