Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764456398.9932462,5017.559499967149,246.2982832254637,0.0
764456398.9933462,5017.07437895626,239.14008345261612,0.0
764456398.9934462,5016.58925989234,250.07144620476006,0.0
764456398.9935462,5016.104142771961,242.46255368502884,0.0
764456398.9936463,5015.619027592969,224.8437386245169,0.0
764456398.9937463,5015.133914357371,222.21624944299776,0.0
764456398.9938463,5014.648803068282,243.9792579232173,0.0
764456398.9939463,5014.163693727708,228.02301295066994,0.0
764456398.9940463,5013.678586332222,222.12114262849477,0.0
764456398.9941463,5013.1934808809465,223.04030189412714,0.0
764456398.9942464,5012.708377378438,216.611710664793,0.0
764456398.9943464,5012.223275823989,250.94705307691626,0.0
764456398.9944464,5011.7381762196055,222.51774880870346,0.0
764456398.9945464,5011.253078565687,229.15912940497694,0.0
764456398.9946464,5010.767982858809,239.743430068984,0.0
764456398.9947464,5010.282889100978,246.7854059324998,0.0
764456398.9948465,5009.797797294035,231.08294854526216,0.0
764456398.9949465,5009.31270744254,239.8100858012356,0.0
764456398.9950465,5008.827619543068,239.92009521106434,0.0
764456398.9951465,5008.342533592195,222.36383724108038,0.0
764456398.9952465,5007.857449595753,225.48060029211453,0.0
764456398.9953465,5007.3723675530355,214.3852268107688,0.0
764456398.9954466,5006.887287463337,248.9182311052006,0.0
764456398.9955466,5006.402209331217,239.0400750502997,0.0
764456398.9956466,5005.917133153082,232.7083682202335,0.0
764456398.9957466,5005.4320589309555,233.35955950712483,0.0
764456398.9958466,5004.946986664121,215.0177334871311,0.0
764456398.9959466,5004.461916355695,227.81123814869875,0.0
764456398.9960467,5003.976848007692,225.65137811474784,0.0
764456398.9961467,5003.491781617963,241.0758067309619,0.0
764456398.9962467,5003.006717183085,206.02187937581115,0.0
764456398.9963467,5002.521654708895,225.97881462827644,0.0
764456398.9964467,5002.0365941946875,236.05016564411534,0.0
764456398.9965467,5001.551535642478,229.87779140938713,0.0
764456398.9966468,5001.066479052666,249.78745241973294,0.0
764456398.9967468,5000.581424421831,232.2372447702124,0.0
764456398.9968468,5000.096371753261,241.61421155686904,0.0
764456398.9969468,4999.611321046255,233.07316509304422,0.0
764456398.9970468,4999.126272306648,230.46249763766767,0.0
764456398.9971468,4998.6412255310215,238.3064370176074,0.0
764456398.9972469,4998.156180715954,250.02969191050843,0.0
764456398.9973469,4997.6711378672835,243.1544602182077,0.0
764456398.9974469,4997.186096984308,216.4145254790963,0.0
764456398.9975469,4996.70105807032,227.07409065863186,0.0
764456398.9976469,4996.2160211219,236.46040090303342,0.0
764456398.997747,4995.730986139447,238.95732260805286,0.0
764456398.997847,4995.245953124981,247.05868575518653,0.0
764456398.997947,4994.760922077801,249.27966075734645,0.0
764456398.998047,4994.275892999756,251.68604713102363,0.0
764456398.998147,4993.79086589541,240.71251308970332,0.0
764456398.998247,4993.305840758627,247.70385898423123,0.0
764456398.998347,4992.820817591426,242.05547077166517,0.0
764456398.9984471,4992.335796396927,248.27143895146224,0.0
764456398.9985471,4991.850777174434,243.37931551547365,0.0
764456398.9986471,4991.365759925967,241.59397966196076,0.0
764456398.9987471,4990.880744650653,232.7798559804711,0.0
764456398.9988471,4990.395731347623,252.13921845278398,0.0
764456398.9989471,4989.910720018899,219.5218579911601,0.0
764456398.9990472,4989.425710663783,217.9621763974795,0.0
764456398.9991472,4988.940703288116,248.8903189598487,0.0
764456398.9992472,4988.455697888484,253.61768352109686,0.0
764456398.9993472,4987.970694461468,251.28383069501442,0.0
764456398.9994472,4987.485693011638,250.72793062734078,0.0
764456398.9995472,4987.0006935408455,244.8539398326985,0.0
