,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.947584942477383e-08,-9.760093292236589e-10,-4.2494800453389455e-10,148993631234.20267,2445012143.3477,1064542110.6816607
1,764294410.0,-5.947585162944942e-08,-9.761017481123597e-10,-4.249958470676248e-10,148993621493.8738,2445243412.4667573,1064661852.4939002
2,764294420.0,-5.9475853769140405e-08,-9.76194184387519e-10,-4.250436877083117e-10,148993611833.16058,2445474729.072139,1064781591.2716842
3,764294430.0,-5.947585584408921e-08,-9.762866380500732e-10,-4.2509152646195136e-10,148993602251.75903,2445706093.1523476,1064901327.0241069
4,764294440.0,-5.947585785453707e-08,-9.763791091007691e-10,-4.2513936333451057e-10,148993592749.36673,2445937504.6954803,1065021059.7602173
5,764294450.0,-5.947585980072374e-08,-9.764715975401606e-10,-4.251871983319222e-10,148993583325.68314,2446168963.689239,1065140789.4890177
6,764294460.0,-5.9475861682887506e-08,-9.765641033686124e-10,-4.252350314600877e-10,148993573980.4095,2446400470.1209335,1065260516.2194666
7,764294470.0,-5.9475863501265425e-08,-9.76656626586306e-10,-4.2528286272487767e-10,148993564713.24863,2446632023.977489,1065380239.9604764
8,764294480.0,-5.947586525609321e-08,-9.767491671932418e-10,-4.253306921321312e-10,148993555523.90512,2446863625.245454,1065499960.7209141
9,764294490.0,-5.9475866947605086e-08,-9.768417251892373e-10,-4.253785196876559e-10,148993546412.08533,2447095273.9110045,1065619678.5096039
10,764294500.0,-5.94758685760341e-08,-9.76934300573937e-10,-4.2542634539722904e-10,148993537377.49722,2447326969.9599543,1065739393.3353248
11,764294510.0,-5.94758701416119e-08,-9.7702689334681e-10,-4.2547416926659726e-10,148993528419.85034,2447558713.377755,1065859105.2068115
12,764294520.0,-5.947587164456881e-08,-9.771195035071543e-10,-4.2552199130147643e-10,148993519538.85608,2447790504.1495085,1065978814.1327561
13,764294530.0,-5.9475873085133924e-08,-9.772121310540992e-10,-4.2556981150755274e-10,148993510734.22733,2448022342.2599673,1066098520.1218064
14,764294540.0,-5.94758744635349e-08,-9.77304775986607e-10,-4.256176298904813e-10,148993502005.67868,2448254227.6935453,1066218223.1825677
15,764294550.0,-5.947587577999826e-08,-9.773974383034785e-10,-4.256654464558889e-10,148993493352.9263,2448486160.43432,1066337923.3236024
16,764294560.0,-5.947587703474924e-08,-9.774901180033533e-10,-4.2571326120937235e-10,148993484775.68796,2448718140.4660406,1066457620.5534303
17,764294570.0,-5.9475878228011724e-08,-9.775828150847112e-10,-4.2576107415649836e-10,148993476273.68307,2448950167.7721324,1066577314.8805288
18,764294580.0,-5.9475879360008366e-08,-9.776755295458768e-10,-4.2580888530280497e-10,148993467846.6326,2449182242.335704,1066697006.313334
19,764294590.0,-5.94758804309606e-08,-9.777682613850206e-10,-4.25856694653801e-10,148993459494.2591,2449414364.1395493,1066816694.8602391
20,764294600.0,-5.94758814410886e-08,-9.778610106001623e-10,-4.2590450221496684e-10,148993451216.28665,2449646533.166157,1066936380.5295973
21,764294610.0,-5.947588239061139e-08,-9.779537771891741e-10,-4.259523079917548e-10,148993443012.44086,2449878749.397713,1067056063.3297194
22,764294620.0,-5.9475883279746675e-08,-9.780465611497797e-10,-4.260001119895878e-10,148993434882.44888,2450111012.816108,1067175743.2688761
23,764294630.0,-5.9475884108710967e-08,-9.781393624795582e-10,-4.260479142138604e-10,148993426826.03955,2450343323.402941,1067295420.3552967
24,764294640.0,-5.947588487771958e-08,-9.782321811759473e-10,-4.260957146699402e-10,148993418842.94296,2450575681.139524,1067415094.5971713
25,764294650.0,-5.947588558698669e-08,-9.78325017236246e-10,-4.261435133631664e-10,148993410932.8909,2450808086.0068893,1067534766.0026485
26,764294660.0,-5.947588623672526e-08,-9.78417870657615e-10,-4.2619131029885094e-10,148993403095.61652,2451040537.9857917,1067654434.579838
27,764294670.0,-5.947588682714707e-08,-9.78510741437079e-10,-4.262391054822781e-10,148993395330.85455,2451273037.0567164,1067774100.3368098
28,764294680.0,-5.947588735846273e-08,-9.786036295715305e-10,-4.2628689891870493e-10,148993387638.34106,2451505583.1998806,1067893763.2815936
29,764294690.0,-5.947588783088165e-08,-9.786965350577276e-10,-4.2633469061336096e-10,148993380017.81378,2451738176.39524,1068013423.4221811
30,764294700.0,-5.9475888244612216e-08,-9.78789457892304e-10,-4.263824805714502e-10,148993372469.01166,2451970816.6224947,1068133080.7665249
31,764294710.0,-5.947588859986155e-08,-9.788823980717617e-10,-4.264302687981482e-10,148993364991.6753,2452203503.8610907,1068252735.3225387
32,764294720.0,-5.947588889683568e-08,-9.789753555924803e-10,-4.264780552986052e-10,148993357585.54654,2452436238.090227,1068372387.0980978
33,764294730.0,-5.947588913573955e-08,-9.79068330450716e-10,-4.2652584007794513e-10,148993350250.3687,2452669019.28886,1068492036.1010392
34,764294740.0,-5.947588931677695e-08,-9.791613226426024e-10,-4.265736231412652e-10,148993342985.88663,2452901847.435704,1068611682.339163
35,764294750.0,-5.9475889440150576e-08,-9.792543321641553e-10,-4.26621404493637e-10,148993335791.84634,2453134722.509243,1068731325.8202305
36,764294760.0,-5.9475889506062015e-08,-9.793473590112714e-10,-4.2666918414010633e-10,148993328667.99542,2453367644.487727,1068850966.5519661
37,764294770.0,-5.947588951471171e-08,-9.79440403179733e-10,-4.2671696208569265e-10,148993321614.08276,2453600613.349182,1068970604.5420569
