,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.9475395505060744e-08,-9.877055069387315e-10,-4.264405730464937e-10,148993433788.65674,2474327977.158985,1068287898.6419395
1,764294410.0,-5.947539934972415e-08,-9.87807225203509e-10,-4.265005784167544e-10,148993421015.5441,2474582422.246912,1068438059.0664382
2,764294420.0,-5.947540316396598e-08,-9.879089264651023e-10,-4.2656057962752354e-10,148993408280.79514,2474836826.5662355,1068588209.8474241
3,764294430.0,-5.947540694776328e-08,-9.880106107388396e-10,-4.2662057665111004e-10,148993395584.43866,2475091190.1573944,1068738350.9164983
4,764294440.0,-5.94754107010933e-08,-9.88112278040092e-10,-4.266805694598305e-10,148993382926.5033,2475345513.060923,1068888482.2052754
5,764294450.0,-5.947541442393335e-08,-9.882139283842691e-10,-4.267405580260069e-10,148993370307.01755,2475599795.3174505,1069038603.6453826
6,764294460.0,-5.947541811626074e-08,-9.883155617868195e-10,-4.2680054232196706e-10,148993357726.00992,2475854036.9677005,1069188715.1684617
7,764294470.0,-5.947542177805283e-08,-9.884171782632301e-10,-4.268605223200441e-10,148993345183.50882,2476108238.052492,1069338816.7061669
8,764294480.0,-5.947542540928713e-08,-9.885187778290287e-10,-4.2692049799257805e-10,148993332679.54254,2476362398.6127377,1069488908.190166
9,764294490.0,-5.947542900994117e-08,-9.88620360499781e-10,-4.269804693119149e-10,148993320214.1393,2476616518.6894445,1069638989.5521418
10,764294500.0,-5.9475432579992444e-08,-9.887219262910915e-10,-4.270404362504058e-10,148993307787.32733,2476870598.3237166,1069789060.7237906
11,764294510.0,-5.947543611941876e-08,-9.888234752186075e-10,-4.271003987804104e-10,148993295399.13455,2477124637.5567493,1069939121.6368225
12,764294520.0,-5.947543962819779e-08,-9.889250072980113e-10,-4.2716035687429266e-10,148993283049.58902,2477378636.4298334,1070089172.2229625
13,764294530.0,-5.9475443106307274e-08,-9.89026522545026e-10,-4.272203105044233e-10,148993270738.7186,2477632594.9843545,1070239212.4139496
14,764294540.0,-5.9475446553725076e-08,-9.891280209754128e-10,-4.272802596431795e-10,148993258466.55115,2477886513.261792,1070389242.1415379
15,764294550.0,-5.9475449970429166e-08,-9.89229502604974e-10,-4.2734020426294586e-10,148993246233.11432,2478140391.303719,1070539261.3374964
16,764294560.0,-5.947545335639748e-08,-9.893309674495488e-10,-4.274001443361122e-10,148993234038.4358,2478394229.151803,1070689269.9336087
17,764294570.0,-5.947545671160804e-08,-9.894324155250162e-10,-4.2746007983507547e-10,148993221882.54315,2478648026.847806,1070839267.8616737
18,764294580.0,-5.947546003603902e-08,-9.89533846847295e-10,-4.2752001073224006e-10,148993209765.46384,2478901784.4335833,1070989255.0535061
19,764294590.0,-5.947546332966855e-08,-9.896352614323415e-10,-4.2757993700001597e-10,148993197687.22525,2479155501.9510837,1071139231.4409351
20,764294600.0,-5.9475466592474815e-08,-9.8973665929615e-10,-4.2763985861082004e-10,148993185647.85474,2479409179.4423494,1071289196.9558069
21,764294610.0,-5.9475469824436274e-08,-9.898380404547596e-10,-4.276997755370779e-10,148993173647.37943,2479662816.949519,1071439151.529982
22,764294620.0,-5.947547302553121e-08,-9.899394049242411e-10,-4.2775968775122e-10,148993161685.82648,2479916414.514821,1071589095.095338
23,764294630.0,-5.947547619573803e-08,-9.900407527207067e-10,-4.278195952256841e-10,148993149763.22305,2480169972.1805797,1071739027.5837679
24,764294640.0,-5.94754793350353e-08,-9.90142083860309e-10,-4.278794979329163e-10,148993137879.59598,2480423489.989212,1071888948.9271817
25,764294650.0,-5.9475482443401475e-08,-9.902433983592361e-10,-4.279393958453679e-10,148993126034.9723,2480676967.983229,1072038859.0575052
26,764294660.0,-5.947548552081534e-08,-9.903446962337197e-10,-4.2799928893550014e-10,148993114229.37866,2480930406.2052336,1072188757.9066814
27,764294670.0,-5.9475488567255475e-08,-9.904459775000252e-10,-4.2805917717577883e-10,148993102462.8419,2481183804.697924,1072338645.4066696
