,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.948019329312078e-08,-9.813348123763694e-10,-4.2083347864701317e-10,148987976578.0911,2458080243.974352,1054117765.7401677
1,764294410.0,-5.948017872202262e-08,-9.814364589073499e-10,-4.2086771565543907e-10,148987987600.39786,2458335635.7019086,1054203859.9871253
2,764294420.0,-5.948016410585722e-08,-9.815381017999427e-10,-4.2090196155148023e-10,148987998678.35458,2458591021.259876,1054289977.7435817
3,764294430.0,-5.9480149444645285e-08,-9.81639741072393e-10,-4.2093621636664215e-10,148988009811.93335,2458846400.693497,1054376119.0882021
4,764294440.0,-5.94801347384079e-08,-9.817413767429607e-10,-4.209704801324112e-10,148988021001.1059,2459101774.0480323,1054462284.0995959
5,764294450.0,-5.9480119987166107e-08,-9.818430088299116e-10,-4.210047528802506e-10,148988032245.84396,2459357141.368754,1054548472.8563141
6,764294460.0,-5.948010519094106e-08,-9.819446373515199e-10,-4.2103903464160236e-10,148988043546.11908,2459612502.7009506,1054634685.4368519
7,764294470.0,-5.94800903497541e-08,-9.820462623260691e-10,-4.210733254478868e-10,148988054901.9027,2459867858.0899234,1054720921.9196465
8,764294480.0,-5.9480075463626635e-08,-9.821478837718524e-10,-4.211076253305025e-10,148988066313.16608,2460123207.5809894,1054807182.3830769
9,764294490.0,-5.948006053258012e-08,-9.822495017071679e-10,-4.211419343208251e-10,148988077779.8804,2460378551.2194777,1054893466.9054654
10,764294500.0,-5.948004555663615e-08,-9.823511161503255e-10,-4.211762524502093e-10,148988089302.0167,2460633889.0507345,1054979775.5650762
11,764294510.0,-5.9480030535816496e-08,-9.82452727119643e-10,-4.2121057974998754e-10,148988100879.54578,2460889221.120117,1055066108.4401147
12,764294520.0,-5.948001547014293e-08,-9.825543346334447e-10,-4.2124491625146917e-10,148988112512.4385,2461144547.4729977,1055152465.6087286
13,764294530.0,-5.9480000359637445e-08,-9.826559387100661e-10,-4.212792619859428e-10,148988124200.6654,2461399868.154762,1055238847.1490065
14,764294540.0,-5.9479985204322054e-08,-9.827575393678494e-10,-4.213136169846736e-10,148988135944.197,2461655183.2108097,1055325253.138979
15,764294550.0,-5.9479970004218897e-08,-9.828591366251444e-10,-4.2134798127890466e-10,148988147743.0036,2461910492.686553,1055411683.6566173
16,764294560.0,-5.947995475935024e-08,-9.829607305003097e-10,-4.2138235489985665e-10,148988159597.05545,2462165796.6274176,1055498138.7798338
17,764294570.0,-5.947993946973846e-08,-9.83062321011713e-10,-4.214167378787275e-10,148988171506.32263,2462421095.078843,1055584618.5864813
18,764294580.0,-5.947992413540596e-08,-9.831639081777283e-10,-4.214511302466927e-10,148988183470.7751,2462676388.0862827,1055671123.1543539
19,764294590.0,-5.947990875637538e-08,-9.832654920167398e-10,-4.214855320349049e-10,148988195490.3826,2462931675.695201,1055757652.5611848
20,764294600.0,-5.9479893332669354e-08,-9.83367072547137e-10,-4.21519943274494e-10,148988207565.11493,2463186957.9510756,1055844206.8846487
21,764294610.0,-5.94798778643107e-08,-9.834686497873208e-10,-4.215543639965674e-10,148988219694.9415,2463442234.8993993,1055930786.2023594
22,764294620.0,-5.9479862351322376e-08,-9.83570223755699e-10,-4.2158879423220976e-10,148988231879.83173,2463697506.5856743,1056017390.5918711
23,764294630.0,-5.947984679372722e-08,-9.836717944706828e-10,-4.216232340124808e-10,148988244119.755,2463952773.0554175,1056104020.130677
24,764294640.0,-5.9479831191548484e-08,-9.837733619506984e-10,-4.216576833684199e-10,148988256414.68036,2464208034.3541574,1056190674.8962102
25,764294650.0,-5.9479815544809307e-08,-9.838749262141747e-10,-4.2169214233104143e-10,148988268764.57687,2464463290.5274363,1056277354.965843
26,764294660.0,-5.947979985353302e-08,-9.839764872795498e-10,-4.217266109313372e-10,148988281169.4134,2464718541.6208053,1056364060.4168866
27,764294670.0,-5.947978411774307e-08,-9.840780451652712e-10,-4.2176108920027583e-10,148988293629.15866,2464973787.6798325,1056450791.3265911
28,764294680.0,-5.947976833746302e-08,-9.841795998897923e-10,-4.217955771688026e-10,148988306143.78122,2465229028.7500935,1056537547.7721452
29,764294690.0,-5.9479752512716416e-08,-9.842811514715733e-10,-4.218300748678383e-10,148988318713.24966,2465484264.877178,1056624329.8306762
30,764294700.0,-5.9479736643527084e-08,-9.84382699929084e-10,-4.21864582328282e-10,148988331337.53223,2465739496.1066875,1056711137.5792502
31,764294710.0,-5.9479720729918834e-08,-9.844842452808006e-10,-4.2189909958100746e-10,148988344016.5972,2465994722.4842353,1056797971.0948707
32,764294720.0,-5.9479704771915616e-08,-9.84585787545207e-10,-4.2193362665686575e-10,148988356750.41263,2466249944.0554447,1056884830.4544793
33,764294730.0,-5.947968876954153e-08,-9.846873267407952e-10,-4.219681635866839e-10,148988369538.9464,2466505160.8659534,1056971715.7349551
34,764294740.0,-5.947967272282071e-08,-9.847888628860633e-10,-4.220027104012653e-10,148988382382.1664,2466760372.961407,1057058627.013116
35,764294750.0,-5.947965663177747e-08,-9.848903959995184e-10,-4.2203726713138935e-10,148988395280.04028,2467015580.3874655,1057145564.365716
36,764294760.0,-5.947964049643615e-08,-9.84991926099673e-10,-4.2207183380781124e-10,148988408232.53555,2467270783.189797,1057232527.8694465
37,764294770.0,-5.947962431682122e-08,-9.85093453205048e-10,-4.221064104612621e-10,148988421239.6197,2467525981.4140835,1057319517.6009363
38,764294780.0,-5.947960809295734e-08,-9.85194977334172e-10,-4.221409971224499e-10,148988434301.25992,2467781175.106016,1057406533.6367513
39,764294790.0,-5.947959182486916e-08,-9.85296498505581e-10,-4.221755938220573e-10,148988447417.42337,2468036364.311298,1057493576.0533932
40,764294800.0,-5.947957551258151e-08,-9.853980167378158e-10,-4.222102005907432e-10,148988460588.0771,2468291549.075641,1057580644.9273012
41,764294810.0,-5.947955915611928e-08,-9.85499532049427e-10,-4.222448174591419e-10,148988473813.18793,2468546729.4447703,1057667740.3348496
42,764294820.0,-5.947954275550746e-08,-9.856010444589693e-10,-4.222794444578632e-10,148988487092.72272,2468801905.4644184,1057754862.3523494
43,764294830.0,-5.947952631077121e-08,-9.857025539850082e-10,-4.223140816174931e-10,148988500426.64798,2469057077.180331,1057842011.0560478
44,764294840.0,-5.947950982193573e-08,-9.858040606461132e-10,-4.2234872896859234e-10,148988513814.93024,2469312244.6382637,1057929186.5221274
45,764294850.0,-5.9479493289026344e-08,-9.85905564460862e-10,-4.223833865416974e-10,148988527257.53583,2469567407.8839803,1058016388.8267064
46,764294860.0,-5.9479476712068516e-08,-9.860070654478387e-10,-4.224180543673198e-10,148988540754.43103,2469822566.963256,1058103618.0458385
47,764294870.0,-5.9479460091087713e-08,-9.861085636256342e-10,-4.224527324759462e-10,148988554305.58185,2470077721.9218764,1058190874.2555122
48,764294880.0,-5.947944342610967e-08,-9.86210059012847e-10,-4.2248742089803927e-10,148988567910.95428,2470332872.8056355,1058278157.5316516
49,764294890.0,-5.94794267171601e-08,-9.863115516280817e-10,-4.2252211966403583e-10,148988581570.51413,2470588019.660338,1058365467.9501152
50,764294900.0,-5.947940996426489e-08,-9.864130414899496e-10,-4.22556828804348e-10,148988595284.2271,2470843162.5317984,1058452805.5866959
51,764294910.0,-5.947939316744997e-08,-9.865145286170686e-10,-4.22591548349363e-10,148988609052.05875,2471098301.465839,1058540170.517122
52,764294920.0,-5.947937632674134e-08,-9.866160130280622e-10,-4.2262627832944185e-10,148988622873.97455,2471353436.5082946,1058627562.817055
53,764294930.0,-5.94793594421653e-08,-9.867174947415642e-10,-4.226610187749226e-10,148988636749.9397,2471608567.705007,1058714982.5620912
54,764294940.0,-5.947934251374807e-08,-9.868189737762109e-10,-4.2269576971611593e-10,148988650679.91943,2471863695.1018267,1058802429.8277603
55,764294950.0,-5.9479325541515906e-08,-9.869204501506444e-10,-4.227305311833069e-10,148988664663.87888,2472118818.744615,1058889904.6895267
