,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.946930768021307e-08,-9.797087782908636e-10,-4.315124368343661e-10,149001411796.8563,2454677829.782143,1081162112.0925746
1,764294410.0,-5.94692742666719e-08,-9.798057290801226e-10,-4.3156369932503577e-10,149001446216.70538,2454922688.1379585,1081291408.4962883
2,764294420.0,-5.9469240814004775e-08,-9.799026804360746e-10,-4.316149267952813e-10,149001480685.69757,2455167550.726072,1081420618.428356
3,764294430.0,-5.946920732230715e-08,-9.799996324212308e-10,-4.3166611918810347e-10,149001515203.71146,2455412417.697897,1081549741.743523
4,764294440.0,-5.946917379167519e-08,-9.80096585098239e-10,-4.3171727644662566e-10,149001549770.62485,2455657289.205145,1081678778.2968204
5,764294450.0,-5.94691402222054e-08,-9.801935385298756e-10,-4.3176839851409086e-10,149001584386.31497,2455902165.3998227,1081807727.9435663
6,764294460.0,-5.946910661399481e-08,-9.802904927790473e-10,-4.318194853338646e-10,149001619050.6585,2456147046.4342337,1081936590.539371
7,764294470.0,-5.946907296714088e-08,-9.80387447908791e-10,-4.318705368494352e-10,149001653763.53146,2456391932.460975,1082065365.940137
8,764294480.0,-5.94690392817416e-08,-9.804844039822746e-10,-4.319215530044157e-10,149001688524.8093,2456636823.6329393,1082194054.0020628
9,764294490.0,-5.9469005557895365e-08,-9.805813610627941e-10,-4.319725337425447e-10,149001723334.36685,2456881720.103311,1082322654.581648
10,764294500.0,-5.946897179570113e-08,-9.806783192137772e-10,-4.320234790076878e-10,149001758192.0783,2457126622.02557,1082451167.5356934
11,764294510.0,-5.946893799525837e-08,-9.807752784987812e-10,-4.320743887438387e-10,149001793097.8172,2457371529.5534854,1082579592.7213042
12,764294520.0,-5.946890415666685e-08,-9.808722389814884e-10,-4.321252628951188e-10,149001828051.45663,2457616442.841119,1082707929.9958942
13,764294530.0,-5.9468870280027e-08,-9.80969200725714e-10,-4.321761014057813e-10,149001863052.86887,2457861362.0428224,1082836179.2171876
14,764294540.0,-5.9468836365439615e-08,-9.810661637953992e-10,-4.322269042202094e-10,149001898101.92575,2458106287.3132386,1082964340.2432225
15,764294550.0,-5.9468802413006056e-08,-9.811631282546148e-10,-4.3227767128292016e-10,149001933198.49832,2458351218.807297,1083092412.9323535
16,764294560.0,-5.9468768422828074e-08,-9.812600941675574e-10,-4.3232840253856317e-10,149001968342.45718,2458596156.680217,1083220397.1432548
17,764294570.0,-5.9468734395008e-08,-9.813570615985527e-10,-4.3237909793192365e-10,149002003533.67224,2458841101.0875034,1083348292.7349226
18,764294580.0,-5.9468700329648605e-08,-9.814540306120542e-10,-4.324297574079227e-10,149002038772.01276,2459086052.1849513,1083476099.5666792
19,764294590.0,-5.9468666226853106e-08,-9.815510012726402e-10,-4.3248038091161836e-10,149002074057.3474,2459331010.1286373,1083603817.4981744
20,764294600.0,-5.946863208672524e-08,-9.816479736450155e-10,-4.3253096838820744e-10,149002109389.5443,2459575975.0749235,1083731446.3893898
21,764294610.0,-5.9468597909369274e-08,-9.817449477940147e-10,-4.325815197830268e-10,149002144768.47083,2459820947.180459,1083858986.100641
22,764294620.0,-5.94685636948899e-08,-9.818419237845946e-10,-4.3263203504155337e-10,149002180193.99374,2460065926.6021724,1083986436.4925807
23,764294630.0,-5.946852944339224e-08,-9.819389016818376e-10,-4.3268251410940595e-10,149002215665.97937,2460310913.497277,1084113797.4262018
24,764294640.0,-5.946849515498206e-08,-9.820358815509538e-10,-4.3273295693234747e-10,149002251184.29318,2460555908.023265,1084241068.7628407
25,764294650.0,-5.9468460829765394e-08,-9.821328634572751e-10,-4.327833634562839e-10,149002286748.80023,2460800910.337912,1084368250.3641794
26,764294660.0,-5.9468426467849024e-08,-9.822298474662608e-10,-4.3283373362726837e-10,149002322359.3648,2461045920.5992703,1084495342.0922492
27,764294670.0,-5.946839206933999e-08,-9.82326833643493e-10,-4.328840673915e-10,149002358015.8506,2461290938.9656734,1084622343.8094337
28,764294680.0,-5.946835763434605e-08,-9.8242382205468e-10,-4.329343646953267e-10,149002393718.1206,2461535965.5957313,1084749255.3784711
29,764294690.0,-5.946832316297514e-08,-9.825208127656469e-10,-4.3298462548524365e-10,149002429466.03748,2461781000.648329,1084876076.6624587
30,764294700.0,-5.9468288655335984e-08,-9.8261780584235e-10,-4.330348497078992e-10,149002465259.46292,2462026044.28263,1085002807.5248547
31,764294710.0,-5.946825411153757e-08,-9.827148013508628e-10,-4.3308503731009093e-10,149002501098.2582,2462271096.658072,1085129447.829481
32,764294720.0,-5.9468219531689556e-08,-9.828117993573836e-10,-4.33135188238771e-10,149002536982.2839,2462516157.934365,1085255997.440527
33,764294730.0,-5.946818491590204e-08,-9.829087999282335e-10,-4.331853024410454e-10,149002572911.3999,2462761228.271494,1085382456.2225523
34,764294740.0,-5.946815026428549e-08,-9.830058031298525e-10,-4.3323537986417487e-10,149002608885.46564,2463006307.8297143,1085508824.0404913
35,764294750.0,-5.946811557695099e-08,-9.831028090288033e-10,-4.33285420455577e-10,149002644904.33975,2463251396.769553,1085635100.759653
36,764294760.0,-5.946808085401014e-08,-9.831998176917708e-10,-4.333354241628279e-10,149002680967.8803,2463496495.2518063,1085761286.2457268
37,764294770.0,-5.946804609557487e-08,-9.832968291855568e-10,-4.333853909336613e-10,149002717075.94482,2463741603.43754,1085887380.364785
38,764294780.0,-5.94680113017578e-08,-9.833938435770871e-10,-4.3343532071597305e-10,149002753228.39005,2463986721.488087,1086013382.9832852
39,764294790.0,-5.946797647267188e-08,-9.83490860933404e-10,-4.33485213457819e-10,149002789425.0722,2464231849.5650477,1086139293.968074
40,764294800.0,-5.94679416084307e-08,-9.83587881321672e-10,-4.335350691074192e-10,149002825665.84677,2464476987.830287,1086265113.1863902
41,764294810.0,-5.946790670914818e-08,-9.83684904809171e-10,-4.335848876131562e-10,149002861950.56876,2464722136.445935,1086390840.505867
42,764294820.0,-5.9467871774938865e-08,-9.837819314633005e-10,-4.336346689235786e-10,149002898279.09247,2464967295.574384,1086516475.7945359
43,764294830.0,-5.9467836805917724e-08,-9.8387896135158e-10,-4.33684412987402e-10,149002934651.2715,2465212465.3782926,1086642018.9208305
44,764294840.0,-5.9467801802200254e-08,-9.839759945416445e-10,-4.337341197535092e-10,149002971066.95895,2465457646.0205765,1086767469.7535882
45,764294850.0,-5.9467766763902485e-08,-9.840730311012474e-10,-4.3378378917095286e-10,149003007526.00714,2465702837.664413,1086892828.1620543
46,764294860.0,-5.946773169114077e-08,-9.841700710982554e-10,-4.338334211889542e-10,149003044028.2679,2465948040.4732385,1087018094.0158842
47,764294870.0,-5.946769658403219e-08,-9.84267114600656e-10,-4.338830157569079e-10,149003080573.59238,2466193254.6107483,1087143267.1851478
48,764294880.0,-5.946766144269419e-08,-9.8436416167655e-10,-4.339325728243812e-10,149003117161.831,2466438480.2408915,1087268347.540332
49,764294890.0,-5.94676262672447e-08,-9.844612123941537e-10,-4.339820923411145e-10,149003153792.83365,2466683717.527876,1087393334.9523437
50,764294900.0,-5.9467591057802235e-08,-9.84558266821799e-10,-4.340315742570247e-10,149003190466.44955,2466928966.636162,1087518229.2925134
51,764294910.0,-5.9467555814485694e-08,-9.846553250279297e-10,-4.3408101852220447e-10,149003227182.52734,2467174227.7304626,1087643030.432598
52,764294920.0,-5.946752053741457e-08,-9.847523870811077e-10,-4.3413042508692527e-10,149003263940.91495,2467419500.975745,1087767738.2447846
53,764294930.0,-5.9467485226708797e-08,-9.848494530500054e-10,-4.3417979390163713e-10,149003300741.4597,2467664786.5372267,1087892352.6016924
54,764294940.0,-5.946744988248882e-08,-9.849465230034084e-10,-4.342291249169711e-10,149003337584.00824,2467910084.5803714,1088016873.3763776
55,764294950.0,-5.9467414504875535e-08,-9.850435970102138e-10,-4.342784180837389e-10,149003374468.40677,2468155395.2708955,1088141300.4423354
56,764294960.0,-5.9467379093990446e-08,-9.851406751394337e-10,-4.343276733529372e-10,149003411394.50055,2468400718.7747583,1088265633.6735034
57,764294970.0,-5.94673436499555e-08,-9.852377574601903e-10,-4.343768906757462e-10,149003448362.1344,2468646055.2581687,1088389872.9442656
58,764294980.0,-5.9467308172893094e-08,-9.85334844041716e-10,-4.344260700035311e-10,149003485371.15247,2468891404.8875785,1088514018.1294544
59,764294990.0,-5.9467272662926193e-08,-9.854319349533534e-10,-4.34475211287845e-10,149003522421.39825,2469136767.8296804,1088638069.1043549
60,764295000.0,-5.94672371201782e-08,-9.855290302645568e-10,-4.3452431448042863e-10,149003559512.71466,2469382144.2514133,1088762025.7447076
61,764295010.0,-5.946720154477304e-08,-9.856261300448886e-10,-4.345733795332126e-10,149003596644.94385,2469627534.319953,1088885887.9267116
62,764295020.0,-5.9467165936835204e-08,-9.857232343640208e-10,-4.346224063983185e-10,149003633817.9275,2469872938.2027164,1089009655.5270278
63,764295030.0,-5.9467130296489584e-08,-9.85820343291733e-10,-4.3467139502805995e-10,149003671031.50647,2470118356.0673566,1089133328.4227831
64,764295040.0,-5.9467094623861566e-08,-9.859174568979125e-10,-4.347203453749429e-10,149003708285.52118,2470363788.0817657,1089256906.4915714
65,764295050.0,-5.9467058919077193e-08,-9.860145752525573e-10,-4.3476925739167107e-10,149003745579.81116,2470609234.4140687,1089380389.6114604
66,764295060.0,-5.9467023182262766e-08,-9.861116984257669e-10,-4.3481813103114086e-10,149003782914.21558,2470854695.232626,1089503777.6609917
67,764295070.0,-5.946698741354526e-08,-9.8620882648775e-10,-4.348669662464476e-10,149003820288.5728,2471100170.7060294,1089627070.5191846
68,764295080.0,-5.946695161305218e-08,-9.863059595088233e-10,-4.3491576299088664e-10,149003857702.72052,2471345661.0031023,1089750268.0655415
69,764295090.0,-5.9466915780911294e-08,-9.86403097559402e-10,-4.349645212179498e-10,149003895156.496,2471591166.2928967,1089873370.180048
70,764295100.0,-5.946687991725114e-08,-9.865002407100124e-10,-4.3501324088133384e-10,149003932649.7356,2471836686.7446938,1089996376.7431793
71,764295110.0,-5.946684402220059e-08,-9.86597389031281e-10,-4.35061921934936e-10,149003970182.2752,2472082222.5280004,1090119287.6359012
72,764295120.0,-5.9466808095889103e-08,-9.866945425939402e-10,-4.351105643328587e-10,149004007753.95,2472327773.81255,1090242102.7396748
73,764295130.0,-5.946677213844658e-08,-9.867917014688238e-10,-4.3515916802940876e-10,149004045364.5946,2472573340.7683,1090364821.9364586
74,764295140.0,-5.946673615000346e-08,-9.868888657268681e-10,-4.352077329791e-10,149004083014.04288,2472818923.565428,1090487445.108713
75,764295150.0,-5.946670013069068e-08,-9.86986035439112e-10,-4.352562591366544e-10,149004120702.1281,2473064522.3743343,1090609972.139403
76,764295160.0,-5.946666408063963e-08,-9.87083210676693e-10,-4.353047464570024e-10,149004158428.68298,2473310137.3656373,1090732402.9120014
77,764295170.0,-5.9466627999982225e-08,-9.871803915108514e-10,-4.353531948952856e-10,149004196193.53952,2473555768.710175,1090854737.3104925
78,764295180.0,-5.9466591888850915e-08,-9.872775780129272e-10,-4.354016044068576e-10,149004233996.52902,2473801416.5789995,1090976975.2193747
79,764295190.0,-5.946655574737863e-08,-9.873747702543593e-10,-4.3544997494728504e-10,149004271837.4823,2474047081.1433806,1091099116.5236657
80,764295200.0,-5.9466519575698696e-08,-9.874719683066833e-10,-4.3549830647234855e-10,149004309716.22943,2474292762.574796,1091221161.1089027
81,764295210.0,-5.94664833739452e-08,-9.875691722415382e-10,-4.3554659893804647e-10,149004347632.59976,2474538461.044942,1091343108.861149
82,764295220.0,-5.9466447142252405e-08,-9.876663821306543e-10,-4.355948523005919e-10,149004385586.42224,2474784176.72572,1091464959.6669955
83,764295230.0,-5.946641088075529e-08,-9.87763598045862e-10,-4.356430665164181e-10,149004423577.52496,2475029909.789241,1091586713.4135637
84,764295240.0,-5.9466374589589305e-08,-9.878608200590877e-10,-4.356912415421782e-10,149004461605.7355,2475275660.407824,1091708369.9885106
85,764295250.0,-5.9466338268890384e-08,-9.879580482423535e-10,-4.3573937733474664e-10,149004499670.88068,2475521428.753991,1091829929.2800312
86,764295260.0,-5.946630191879481e-08,-9.88055282667773e-10,-4.3578747385121857e-10,149004537772.78683,2475767215.0004706,1091951391.1768613
87,764295270.0,-5.9466265539439655e-08,-9.881525234075602e-10,-4.3583553104891585e-10,149004575911.27957,2476013019.3201914,1092072755.568282
88,764295280.0,-5.9466229130962214e-08,-9.882497705340162e-10,-4.358835488853834e-10,149004614086.18387,2476258841.886283,1092194022.344122
89,764295290.0,-5.9466192693500496e-08,-9.883470241195404e-10,-4.3593152731839445e-10,149004652297.324,2476504682.8720727,1092315191.3947616
90,764295300.0,-5.946615622719281e-08,-9.884442842366197e-10,-4.359794663059483e-10,149004690544.5238,2476750542.451086,1092436262.6111362
91,764295310.0,-5.9466119732178164e-08,-9.885415509578374e-10,-4.3602736580627537e-10,149004728827.60623,2476996420.7970443,1092557235.8847392
92,764295320.0,-5.946608320859589e-08,-9.886388243558625e-10,-4.3607522577783545e-10,149004767146.3938,2477242318.08386,1092678111.107626
93,764295330.0,-5.9466046656585926e-08,-9.887361045034583e-10,-4.361230461793209e-10,149004805500.70822,2477488234.485639,1092798888.1724157
94,764295340.0,-5.946601007628868e-08,-9.888333914734756e-10,-4.3617082696965725e-10,149004843890.37073,2477734170.1766777,1092919566.9722972
95,764295350.0,-5.946597346784506e-08,-9.889306853388558e-10,-4.3621856810800494e-10,149004882315.20175,2477980125.331461,1093040147.40103
96,764295360.0,-5.946593683139639e-08,-9.890279861726252e-10,-4.3626626955375965e-10,149004920775.02127,2478226100.124659,1093160629.3529494
