,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.947705725031122e-08,-9.847197217648937e-10,-4.2916516444339285e-10,148991466788.70908,2466746717.210077,1075069115.7421722
1,764294410.0,-5.947706946807445e-08,-9.848263360766332e-10,-4.2920011561443635e-10,148991443922.66064,2467012903.248062,1075156283.4058714
2,764294420.0,-5.9477081648087956e-08,-9.849329387113402e-10,-4.2923505565940337e-10,148991421104.09424,2467279062.195747,1075243424.1609333
3,764294430.0,-5.947709379030799e-08,-9.85039529675353e-10,-4.292699846082088e-10,148991398333.0636,2467545194.072506,1075330538.0837529
4,764294440.0,-5.9477105894691045e-08,-9.85146108975042e-10,-4.293049024907965e-10,148991375609.6222,2467811298.8977795,1075417625.2507913
5,764294450.0,-5.947711796119367e-08,-9.852526766168034e-10,-4.293398093371357e-10,148991352933.82346,2468077376.6910734,1075504685.7385733
6,764294460.0,-5.947712998977243e-08,-9.853592326070616e-10,-4.29374705177223e-10,148991330305.72067,2468343427.4719596,1075591719.62369
7,764294470.0,-5.94771419803841e-08,-9.854657769522697e-10,-4.294095900410822e-10,148991307725.367,2468609451.260074,1075678726.9827957
8,764294480.0,-5.947715393298546e-08,-9.85572309658908e-10,-4.294444639587627e-10,148991285192.81552,2468875448.0751185,1075765707.8926094
9,764294490.0,-5.947716584753339e-08,-9.856788307334844e-10,-4.2947932696034096e-10,148991262708.1192,2469141417.936859,1075852662.4299145
10,764294500.0,-5.9477177723984826e-08,-9.857853401825349e-10,-4.2951417907591974e-10,148991240271.3309,2469407360.865131,1075939590.6715589
11,764294510.0,-5.9477189562296954e-08,-9.85891838012626e-10,-4.295490203356291e-10,148991217882.5032,2469673276.8798294,1076026492.6944528
12,764294520.0,-5.947720136242689e-08,-9.859983242303477e-10,-4.2958385076962426e-10,148991195541.68884,2469939166.000917,1076113368.5755715
13,764294530.0,-5.9477213124331846e-08,-9.861047988423208e-10,-4.2961867040808716e-10,148991173248.9402,2470205028.2484217,1076200218.3919528
14,764294540.0,-5.947722484796925e-08,-9.862112618551941e-10,-4.296534792812262e-10,148991151004.30966,2470470863.642437,1076287042.2206976
15,764294550.0,-5.947723653329652e-08,-9.863177132756426e-10,-4.296882774192759e-10,148991128807.84946,2470736672.203119,1076373840.138971
16,764294560.0,-5.947724818027116e-08,-9.864241531103696e-10,-4.2972306485249606e-10,148991106659.61172,2471002453.95069,1076460612.224
17,764294570.0,-5.947725978885078e-08,-9.86530581366106e-10,-4.2975784161117285e-10,148991084559.6485,2471268208.9054375,1076547358.5530741
18,764294580.0,-5.9477271358993184e-08,-9.866369980496128e-10,-4.2979260772561936e-10,148991062508.01163,2471533937.087715,1076634079.2035463
19,764294590.0,-5.9477282890656105e-08,-9.867434031676756e-10,-4.2982736322617285e-10,148991040504.7529,2471799638.5179377,1076720774.2528303
20,764294600.0,-5.9477294383797456e-08,-9.868497967271093e-10,-4.298621081431972e-10,148991018549.92398,2472065313.2165875,1076807443.7784035
21,764294610.0,-5.9477305838375276e-08,-9.869561787347576e-10,-4.2989684250708266e-10,148990996643.57632,2472330961.2042108,1076894087.8578045
22,764294620.0,-5.947731725434764e-08,-9.8706254919749e-10,-4.2993156634824383e-10,148990974785.76138,2472596582.501418,1076980706.5686336
23,764294630.0,-5.947732863167268e-08,-9.87168908122204e-10,-4.29966279697121e-10,148990952976.53052,2472862177.128885,1077067299.9885526
24,764294640.0,-5.947733997030872e-08,-9.87275255515826e-10,-4.300009825841809e-10,148990931215.9348,2473127745.1073503,1077153868.1952848
25,764294650.0,-5.947735127021407e-08,-9.873815913853083e-10,-4.3003567503991396e-10,148990909504.02542,2473393286.4576197,1077240411.2666147
26,764294660.0,-5.947736253134723e-08,-9.874879157376325e-10,-4.30070357094838e-10,148990887840.8532,2473658801.2005606,1077326929.2803876
27,764294670.0,-5.947737375366671e-08,-9.875942285798073e-10,-4.301050287794944e-10,148990866226.46906,2473924289.357107,1077413422.31451
28,764294680.0,-5.947738493713124e-08,-9.877005299188708e-10,-4.30139690124451e-10,148990844660.92352,2474189750.9482565,1077499890.446948
29,764294690.0,-5.947739608169949e-08,-9.878068197618843e-10,-4.3017434116029955e-10,148990823144.26736,2474455185.995069,1077586333.7557292
