,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.0098023438794116e-08,-8.193091446848137e-10,-3.5500699823802115e-10,148994443292.61755,2436673176.2582054,1055811515.8391248
1,764294410.0,-5.009801116927887e-08,-8.193933431068757e-10,-3.5505661924174644e-10,148994453810.86926,2436924356.1376386,1055959424.7585232
2,764294420.0,-5.0097998874655726e-08,-8.194775543059813e-10,-3.551062456777663e-10,148994464364.4657,2437175575.974762,1056107350.7070043
3,764294430.0,-5.009798655494117e-08,-8.195617782980503e-10,-3.5515587752512337e-10,148994474953.38156,2437426835.816298,1056255293.6220567
4,764294440.0,-5.009797421015182e-08,-8.196460150989762e-10,-3.552055147628528e-10,148994485577.59122,2437678135.7088814,1056403253.4411403
5,764294450.0,-5.0097961840304376e-08,-8.197302647246234e-10,-3.552551573699796e-10,148994496237.06912,2437929475.699056,1056551230.1016843
6,764294460.0,-5.00979494454155e-08,-8.198145271908265e-10,-3.553048053255202e-10,148994506931.7896,2438180855.833277,1056699223.5410906
7,764294470.0,-5.009793702550199e-08,-8.19898802513393e-10,-3.553544586084815e-10,148994517661.7269,2438432276.1579103,1056847233.6967305
8,764294480.0,-5.0097924580580653e-08,-8.199830907081001e-10,-3.554041171978612e-10,148994528426.85516,2438683736.71923,1056995260.5059463
9,764294490.0,-5.009791211066833e-08,-8.20067391790696e-10,-3.554537810726481e-10,148994539227.1486,2438935237.5634217,1057143303.9060525
10,764294500.0,-5.00978996157819e-08,-8.201517057769004e-10,-3.555034502118218e-10,148994550062.58124,2439186778.736583,1057291363.8343346
11,764294510.0,-5.009788709593844e-08,-8.202360326824063e-10,-3.55553124594354e-10,148994560933.12692,2439438360.284719,1057439440.228049
12,764294520.0,-5.0097874551154885e-08,-8.203203725228736e-10,-3.5560280419920606e-10,148994571838.75967,2439689982.2537446,1057587533.0244246
13,764294530.0,-5.0097861981448296e-08,-8.204047253139363e-10,-3.55652489005331e-10,148994582779.45325,2439941644.6894865,1057735642.1606609
14,764294540.0,-5.0097849386835835e-08,-8.204890910711981e-10,-3.557021789916733e-10,148994593755.18143,2440193347.6376796,1057883767.57393
15,764294550.0,-5.0097836767334635e-08,-8.205734698102343e-10,-3.557518741371685e-10,148994604765.91785,2440445091.143969,1058031909.2013763
16,764294560.0,-5.0097824122961946e-08,-8.206578615465907e-10,-3.558015744207435e-10,148994615811.63614,2440696875.2539096,1058180066.9801158
17,764294570.0,-5.009781145373498e-08,-8.207422662957834e-10,-3.558512798213158e-10,148994626892.30984,2440948700.012965,1058328240.8472368
18,764294580.0,-5.009779875967107e-08,-8.208266840733004e-10,-3.5590099031779514e-10,148994638007.91245,2441200565.4665112,1058476430.7398005
19,764294590.0,-5.009778604078761e-08,-8.20911114894601e-10,-3.559507058890826e-10,148994649158.41724,2441452471.6598296,1058624636.5948397
20,764294600.0,-5.009777329710199e-08,-8.209955587751132e-10,-3.5600042651407014e-10,148994660343.79767,2441704418.6381125,1058772858.3493614
