,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.9473062336318176e-08,-9.836632755602185e-10,-4.307933018511412e-10,148996487279.87762,2464348849.162761,1079256493.5793364
1,764294410.0,-5.9473051713210575e-08,-9.837856551582049e-10,-4.3083089733380325e-10,148996491946.25354,2464655961.3664436,1079350907.270399
2,764294420.0,-5.9473041052657996e-08,-9.839080224176614e-10,-4.308684727587859e-10,148996496659.76312,2464963045.1193376,1079445271.7721336
3,764294430.0,-5.947303035464188e-08,-9.840303772854199e-10,-4.309060281392872e-10,148996501420.4329,2465270100.2903028,1079539587.1183705
4,764294440.0,-5.9473019619144e-08,-9.841527197082646e-10,-4.309435634886013e-10,148996506228.28903,2465577126.7480593,1079633853.3431711
5,764294450.0,-5.9473008846146086e-08,-9.84275049632921e-10,-4.309810788201126e-10,148996511083.35776,2465884124.3611856,1079728070.4808257
6,764294460.0,-5.947299803563008e-08,-9.843973670060635e-10,-4.310185741473006e-10,148996515985.66513,2466191092.9981203,1079822238.5658565
7,764294470.0,-5.947298718757794e-08,-9.84519671774313e-10,-4.310560494837375e-10,148996520935.23703,2466498032.527162,1079916357.633017
8,764294480.0,-5.9472976301971783e-08,-9.84641963884236e-10,-4.310935048430891e-10,148996525932.09927,2466804942.816469,1080010427.7172916
9,764294490.0,-5.9472965378793714e-08,-9.847642432823435e-10,-4.3113094023911516e-10,148996530976.27762,2467111823.734059,1080104448.8538992
10,764294500.0,-5.9472954418025964e-08,-9.848865099150956e-10,-4.311683556856694e-10,148996536067.79767,2467418675.147813,1080198421.0782917
11,764294510.0,-5.9472943419651036e-08,-9.850087637289004e-10,-4.312057511967018e-10,148996541206.68472,2467725496.9254694,1080292344.426154
12,764294520.0,-5.9472932383651256e-08,-9.851310046701079e-10,-4.3124312678625436e-10,148996546392.9643,2468032288.9346294,1080386218.9334066
13,764294530.0,-5.9472921310009265e-08,-9.852532326850198e-10,-4.3128048246846654e-10,148996551626.6615,2468339051.0427547,1080480044.6362054
14,764294540.0,-5.947291019870772e-08,-9.85375447719883e-10,-4.3131781825757167e-10,148996556907.80148,2468645783.1171694,1080573821.570942
15,764294550.0,-5.9472899049729354e-08,-9.85497649720891e-10,-4.3135513416789915e-10,148996562236.40918,2468952485.0250583,1080667549.7742445
16,764294560.0,-5.9472887863057004e-08,-9.85619838634184e-10,-4.3139243021387413e-10,148996567612.5095,2469259156.633467,1080761229.2829795
17,764294570.0,-5.94728766386737e-08,-9.857420144058522e-10,-4.314297064100183e-10,148996573036.1271,2469565797.8093057,1080854860.13425
18,764294580.0,-5.947286537656239e-08,-9.8586417698193e-10,-4.3146696277094857e-10,148996578507.28668,2469872408.4193463,1080948442.3653986
19,764294590.0,-5.947285407670635e-08,-9.85986326308402e-10,-4.3150419931137974e-10,148996584026.01266,2470178988.3302217,1081041976.0140069
20,764294600.0,-5.947284273908872e-08,-9.861084623311978e-10,-4.3154141604612274e-10,148996589592.32947,2470485537.4084287,1081135461.117897
21,764294610.0,-5.947283136369295e-08,-9.862305849961983e-10,-4.315786129900864e-10,148996595206.26123,2470792055.5203285,1081228897.7151306
22,764294620.0,-5.9472819950502506e-08,-9.863526942492297e-10,-4.3161579015827674e-10,148996600867.8321,2471098542.532143,1081322285.8440118
23,764294630.0,-5.94728084995009e-08,-9.86474790036066e-10,-4.316529475657963e-10,148996606577.06613,2471404998.309961,1081415625.5430856
24,764294640.0,-5.9472797010671805e-08,-9.865968723024306e-10,-4.3169008522784737e-10,148996612333.9871,2471711422.719732,1081508916.8511407
25,764294650.0,-5.9472785483999033e-08,-9.867189409939953e-10,-4.3172720315972965e-10,148996618138.61877,2472017815.627272,1081602159.807208
26,764294660.0,-5.947277391946642e-08,-9.86840996056379e-10,-4.317643013768413e-10,148996623990.98474,2472324176.8982606,1081695354.450563
27,764294670.0,-5.9472762317057935e-08,-9.869630374351499e-10,-4.3180137989467917e-10,148996629891.10852,2472630506.398243,1081788500.820726
28,764294680.0,-5.947275067675777e-08,-9.87085065075827e-10,-4.3183843872884075e-10,148996635839.0133,2472936803.9926276,1081881598.9574614
29,764294690.0,-5.947273899854997e-08,-9.872070789238721e-10,-4.318754778950196e-10,148996641834.7225,2473243069.5466895,1081974648.9007804
30,764294700.0,-5.9472727282418925e-08,-9.873290789247028e-10,-4.3191249740901243e-10,148996647878.25906,2473549302.925569,1082067650.6909416
31,764294710.0,-5.947271552834898e-08,-9.87451065023681e-10,-4.319494972867133e-10,148996653969.64603,2473855503.9942737,1082160604.3684492
32,764294720.0,-5.9472703736324676e-08,-9.875730371661192e-10,-4.3198647754411773e-10,148996660108.9062,2474161672.617674,1082253509.9740562
33,764294730.0,-5.947269190633064e-08,-9.87694995297281e-10,-4.320234381973213e-10,148996666296.0622,2474467808.660511,1082346367.5487638
34,764294740.0,-5.947268003835155e-08,-9.878169393623761e-10,-4.3206037926252e-10,148996672531.13663,2474773911.9873896,1082439177.133823
35,764294750.0,-5.947266813237227e-08,-9.879388693065662e-10,-4.3209730075601134e-10,148996678814.15195,2475079982.462783,1082531938.7707345
