Key,TCA [s],Miss Distance [m]
91787.0,764402399.9995749,23.427873094531616
91104.0,764388000.0002314,9.634974628971433
91861.0,764406000.8894379,6471.626814979437
91368.0,764456399.9932462,1000.5593475732235
91438.0,764413200.1225748,807.8464478650701
91518.0,764431200.1484085,739.9628510133136
91401.0,764305837.1545821,15001570.125590336
91383.0,764462388.6642078,26925825.347268313
91618.0,764294400.0,80960559.11232194
91475.0,764309654.5195545,42548649.43147526
91714.0,764418941.7870874,1824066.7163478646
91821.0,764463851.285428,11484096.785109045
91447.0,764297127.5482208,6127420.480474208
91599.0,764456970.6609141,26771691.151112527
