Key,Runtime,TCA ,Miss Distance
45551,40.841559171676636,-125735.68083226681,19450899.56544573
40940,6.85850715637207,-126752.48222541809,15759521.370051283
20580,39.695698738098145,-36923.85919225216,19399663.94897847
36585,9.158003091812134,5022.959271788597,19746.999408067975
40697,37.66540837287903,-72246.90369200706,19157700.658939376
41240,34.211859464645386,-109383.0558810234,18829066.333404392
91107,37.48213028907776,-105700.48331201077,19304598.2405742
91260,37.39167904853821,3623.7851856946945,19284286.515666116
91976,37.92610025405884,-127050.36417019367,18975670.547525074
91247,38.07257795333862,-19265.129564762115,19353228.218070596
91320,37.5671489238739,-18349.00797045231,19391641.317613583
91888,37.28213047981262,-40381.80583059788,19249169.250347283
91509,8.689252376556396,-41348.23239147663,17904927.39978437
91686,6.768339395523071,-39728.51871132851,16116871.366523715
91762,7.061904430389404,-40348.0773781538,15782868.315117743
91332,8.542980909347534,-39521.51205432415,16373259.648305012
91395,8.22269582748413,-41727.1827712059,17344081.40468641
91883,7.450188159942627,-41366.916957974434,15966278.965452017
91180,47.34173035621643,-80411.48191046715,19157771.52679411
91690,49.63365888595581,-79749.17746841908,19055122.268843412
91345,47.658947467803955,6240.746422410011,19242266.85496279
91764,40.998400926589966,-79057.37113583088,19084858.479470555
91285,46.28431415557861,-36471.853282094,19066075.58121156
91133,46.113200426101685,-36634.23707532883,19355382.070054777
91787,12.94823670387268,-43196.34672784805,10330.681895003454
91104,14.188064575195312,-57596.65235054493,13348.349783250327
91861,12.949166059494019,-39595.98118162155,8277.501364924692
91368,12.279181003570557,10802.026772737503,18204.70834305831
91438,10.554295301437378,-32397.794568777084,19106.99029849801
91518,12.904357194900513,-14396.522168040276,12341.590511870696
91454,38.80700397491455,14021.062788367271,17415185.952806037
91717,37.270148515701294,-114091.30158889294,17750815.47539095
91572,38.300495624542236,-3966.9778990745544,19072083.426950112
91944,41.525925397872925,15292.343006253242,18854167.043058194
91317,40.10329866409302,-113191.62123918533,17948460.67896664
91228,42.92200541496277,-5843.857136249542,18633673.363673702
91785,38.010846853256226,20160.891140699387,18812869.639888898
91992,39.25052523612976,-43132.31310021877,18815215.933006752
91546,42.518346071243286,-42905.250368356705,18891572.216508042
91115,39.360167026519775,-88133.89411520958,18938432.719199747
91291,47.3472421169281,-42037.015337347984,19066431.953407045
91330,38.11415147781372,-67582.96887624264,18929199.85019704
91815,7.71353554725647,-126072.21478760242,25947601.115664247
91335,7.420552015304565,-127163.21699225903,16034526.927533029
91353,7.154608964920044,-105560.28265440464,16503358.439551163
91401,9.327406883239746,-139760.70714497566,14983030.230151333
91720,7.525913238525391,-40427.90830385685,18676672.96532603
91265,7.254452705383301,-18990.71405029297,19248421.47875668
91383,9.358476400375366,16791.580347061157,26925528.885339282
91159,41.824968338012695,-33449.209864377975,19366677.039059225
91241,7.359238862991333,-20194.22034907341,15777965.34802358
91201,7.438875198364258,-19583.365448594093,19140786.837399162
91620,7.442807912826538,-40539.711876511574,17898697.29179166
91380,15.563076734542847,-145189.97438502312,12541237.65622609
91490,41.23299431800842,14280.63249874115,19186305.736075304
91167,41.54989767074585,3115.8618899583817,19441302.756033115
91802,42.481284379959106,-38733.68262529373,19368190.905462585
91147,39.9771683216095,-127898.5673109293,19081278.06454483
91220,38.020453214645386,17045.16821873188,18665962.71177893
91960,34.69216704368591,-111942.3020414114,18629128.83317145
91010,38.766056299209595,17290.281553387642,19353022.228233505
91101,7.183182001113892,-18991.789243221283,18962060.907514382
91249,34.512391567230225,-119130.66500282288,18549113.694023717
91843,35.89154410362244,11570.709632396698,18433801.86620958
91618,3011.735118865967,-151200.0,80939972.45922135
91365,63.83227252960205,-28274.240361213684,19376309.118458368
91405,51.04634380340576,-33299.18469560146,19327063.360608466
91878,43.041369915008545,-28684.87538099289,19433857.891479433
91064,41.55104041099548,-34359.71351349354,19300522.072775777
91475,9.649686336517334,-135952.94434654713,42536117.58636695
91361,6.713002920150757,-40345.899087548256,18231385.739074454
91564,33.13562035560608,-119737.0385736227,18451343.903105658
91791,7.730780363082886,-105290.78119945526,16538704.921044918
91628,37.70569348335266,11228.443487405777,19369122.978209976
91910,40.68225455284119,8462.300689339638,19050675.699205216
91816,39.47674870491028,-123047.45233094692,19346550.191302616
91660,41.476725816726685,-126369.5793377161,19549763.420595467
91611,37.49663019180298,9701.060805439949,19228599.620917946
91424,35.040982484817505,14836.220833539963,19105470.63979113
91713,31.376431941986084,-79264.67039322853,18508268.866615515
91665,30.114063501358032,-32762.202092409134,18482602.07336338
91074,30.76649045944214,-35984.59069144726,18508525.05551605
91059,36.50959348678589,-34889.01364290714,19375175.728959654
91500,38.07994985580444,-33702.99202358723,19442524.767535143
91714,8.490469217300415,-26654.619335889816,1815174.1694687488
91821,8.37230896949768,18254.888318419456,11474349.49459071
91965,30.862576484680176,11916.955430984497,18383673.220800404
91112,34.71314191818237,-119838.33408856392,19098310.647439618
91389,16.223300218582153,-84263.8069870472,4668445.678813625
91447,11.750704288482666,-148467.87372291088,6118884.7122257035
91630,32.994444370269775,3989.8376977443695,19085681.96473707
91124,19.24770998954773,-117918.62393677235,17473228.618164983
91760,29.492565393447876,20988.141953110695,17452742.94308377
91642,32.16218686103821,-24550.369782805443,18886701.67128211
91920,32.407633781433105,-24112.291895985603,18891477.897408213
91344,31.655200004577637,11464.151688098907,18422840.053112414
91674,35.04095983505249,10660.809566497803,19014785.81297437
91270,36.5690758228302,-74252.51341176033,19478378.025466975
91599,7.157541990280151,11372.15570807457,26774330.61508505
